michelin_name,stars,michelin_id,city_id,region_id,cuisine_id,lat_long_id
Kilian Stuba,1,0,0,0,0,0
Impromptu by Paul Lee,1,371,64,20,33,1
PRU,1,397,66,21,33,2
Upstairs at Mikkeller,1,377,65,21,33,3
Gaa,1,389,65,21,33,4
Canvas,1,380,65,21,33,5
Corner House,1,332,59,18,33,6
Longtail,1,372,64,20,33,7
Muoki,1,297,58,17,33,8
Exquisine,1,293,58,17,33,9
Mosu,1,301,58,17,33,10
Soigné,1,303,58,17,33,11
Zero Complex,1,305,58,17,33,12
Bacchanalia,1,330,59,18,33,13
Meta,1,339,59,18,33,14
Dosa,1,294,58,17,33,15
Nouri,1,335,59,18,33,16
Labyrinth,1,318,59,18,33,17
Takumi by Daisuke Mori,1,158,27,8,33,18
A. Wong,1,529,148,23,14,19
Mister Jiu's,1,35,5,1,14,20
Bistro Na's,1,76,8,1,14,21
Yu Yuan,1,299,58,17,14,22
Jin Jin,1,306,58,17,14,23
Hakkasan Mayfair,1,500,141,23,14,24
Kai,1,498,141,23,14,25
Hakkasan Hanway Place,1,504,140,23,14,26
Café China,1,236,34,12,14,27
Crystal Jade Golden Palace,1,322,59,18,14,28
Imperial Treasure Fine Teochew Cuisine (Orchard),1,323,59,18,14,29
La Dame de Pic,1,537,154,23,66,30
Tate,1,179,27,8,33,31
Arbor,1,166,28,8,33,32
VEA,1,167,27,8,33,33
Summer Palace,1,164,27,8,27,34
Yauatcha Soho,1,511,142,23,14,35
Man Wah,1,163,27,8,27,36
Yee Tung Heen,1,153,27,8,27,37
Tim's Kitchen,1,187,30,10,27,38
Chef Kang's,1,310,59,18,27,39
Summer Pavilion,1,312,59,18,27,40
Lei Garden,1,315,59,18,27,41
Ya Ge,1,363,64,20,27,42
Da San Yuan,1,374,64,20,27,43
Pearl Dragon,1,195,30,10,27,44
Summer Palace,1,333,59,18,27,45
Xin Rong Ji,1,161,27,8,35,46
Kam's Roast Goose,1,159,27,8,34,47
Yat Lok,1,169,27,8,34,48
Zhejiang Heen,1,157,27,8,31,49
Jardin de Jade (Wan Chai),1,156,27,8,31,50
Yè Shanghai (Tsim Sha Tsui),1,154,27,8,31,51
Jiang-Nan Chun,1,329,59,18,27,52
Lai Heen,1,196,30,10,27,53
Guo Fu Lou,1,170,27,8,27,54
Celebrity Cuisine,1,171,27,8,27,55
Loaf On,1,137,27,8,27,56
Lei Garden (Kwun Tong),1,138,27,8,27,57
Lei Garden (Mong Kok),1,140,27,8,27,58
Ming Court,1,141,27,8,27,59
Yat Tung Heen (Jordan),1,142,27,8,27,60
Fu Ho (Tsim Sha Tsui),1,143,27,8,27,61
Shang Palace,1,144,27,8,27,62
Ah Yat Harbour View (Tsim Sha Tsui),1,146,27,8,27,63
Spring Moon,1,148,27,8,27,64
Imperial Treasure Fine Chinese Cuisine,1,149,27,8,27,65
Ying,1,190,30,10,27,66
King,1,189,30,10,27,67
Wing Lei,1,188,30,10,27,68
Zi Yat Heen,1,193,30,10,27,69
Duddell's,1,174,27,8,27,70
Pang's Kitchen,1,160,27,8,27,71
Qi (Wan Chai),1,162,27,8,36,72
