city_name,city_id
Kleinwalsertal,0
Hallwang,1
Salzburg,2
Wien,3
South San Francisco,4
San Francisco,5
Monterey,6
Sacramento,7
Los Angeles,8
Costa Mesa,9
San Diego,10
Chicago,11
Rovinj,12
Lovran,13
Zagreb,14
Šibenik,15
Dubrovnik,16
Praha,17
Aarhus,18
Vejle,19
Fredericia,20
Hørve,21
København,22
Præstø,23
Pedersker,24
Helsingfors / Helsinki,25
Athína,26
Hong Kong,27
,28
Budapest,29
Macau,30
Trondheim,31
Stavanger,32
Oslo,33
New York,34
Warszawa,35
Gaillimh/Galway,36
Lios Dúin Bhearna/Lisdoonvarna,37
Ballydehob,38
Baltimore,39
Corcaigh/Cork,40
City Centre,41
Cill Chainnigh/Kilkenny,42
Blackrock,43
Baile Mhic Andáin/Thomastown,44
Aird Mhór/Ardmore,45
Rio de Janeiro - 22470,46
Rio de Janeiro - 22271,47
Rio de Janeiro - 22021,48
São Paulo - 05413,49
São Paulo - 05415,50
São Paulo - 01426,51
São Paulo - 04538,52
São Paulo - 04531,53
São Paulo - 05706,54
São Paulo - 04509,55
São Paulo - 01401,56
São Paulo - 04080,57
Seoul,58
Singapore,59
Göteborg,60
Stockholm,61
Växjö,62
Malmö,63
Taipei,64
Bangkok,65
Phuket,66
"Washington, D.C.",67
Waternish,68
Dalry,69
Belfast,70
Peat Inn,71
Leith,72
Edinburgh,73
Anstruther,74
Grasmere,75
Bowness-on-Windermere,76
Cartmel,77
Newcastle upon Tyne,78
Menai Bridge/Porthaethwy,79
Langho,80
Pateley Bridge,81
Birkenhead,82
Fence,83
Llandrillo,84
Machynlleth,85
Oldstead,86
Chester,87
Harome,88
Leeds,89
Montgomery/Trefaldwyn,90
South Dalton,91
Baslow,92
Winteringham,93
Ilfracombe,94
Llanddewi Skirrid,95
Padstow,96
Birmingham,97
Port Isaac,98
Hampton in Arden,99
Mountsorrel,100
Whitebrook,101
Penarth,102
Portscatho,103
Kenilworth,104
Knowstone,105
Stratford-upon-Avon,106
Cheltenham,107
Chagford,108
Upper Hambleton,109
Bristol,110
Chew Magna,111
Malmesbury,112
Castle Combe,113
Colerne,114
Bath,115
Lympstone,116
Hunstanton,117
Torquay,118
Oxford,119
Murcott,120
Morston,121
East Chisenbury,122
Newbury,123
Marlow,124
Burchett's Green,125
Shinfield,126
Bray,127
Winchester,128
Bagshot,129
Ascot,130
Egham,131
Kew,132
Chiswick,133
Little Dunmow,134
Hammersmith,135
Kensington,136
Marylebone,137
Regent's Park,138
Fulham,139
Bloomsbury,140
Mayfair,141
Soho,142
Belgravia,143
Ripley,144
Westminster,145
Chelsea,146
Saint James's,147
Victoria,148
Clerkenwell,149
London,150
Shoreditch,151
Finsbury,152
Spitalfields,153
City of London,154
Bermondsey,155
Clapham Common,156
Wandsworth,157
Dorking,158
Horsham,159
Gravetye,160
Seasalter,161
Biddenden,162
Fordwich,163
Saint Helier/Saint-Hélier,164
Leynar,165
Henne,166
Rio de Janeiro - 22441,167
São Paulo - 05416,168
São Paulo - 01411,169
Järpen,170
Skåne-Tranås,171
Auchterarder,172
Summerhouse,173
Aughton,174
Nottingham,175
Great Milton,176
Cambridge,177
North Kensington,178
Hyde Park,179
